n_elements,Triton (GB/s),PyTorch (GB/s)
4096.000000,7.331742,7.177570
8192.000000,14.985366,22.021505
16384.000000,34.909091,34.711864
32768.000000,63.999998,63.340208
65536.000000,101.135802,102.187111
131072.000000,146.068350,146.941704
262144.000000,182.382199,185.479239
524288.000000,204.906722,204.800005
1048576.000000,220.412561,220.412561
2097152.000000,231.167544,231.031722
4194304.000000,235.001346,234.860982
8388608.000000,238.601945,238.601945
16777216.000000,241.102761,241.533161
33554432.000000,242.754030,242.730601
67108864.000000,244.624073,244.615755
134217728.000000,245.287506,245.468144
